id,source_dataset,label,min_log_prob,mean_log_prob,mean_token_prob,token_prob_std,mean_entropy,max_entropy,entropy_std,log_perplexity,log_mean_token_rank,log_max_token_rank,log_rank_std,exact_match_agreement,mean_pairwise_similarity,min_pairwise_similarity,max_pairwise_similarity,pairwise_similarity_std,mean_pairwise_entailment,mean_pairwise_contradiction,nli_disagreement
halueval-8465,halueval,1,-13.19007396697998,-2.5522552639355554,0.4355337651388241,0.4086565339472002,1.1961707745076102,5.080794334411621,1.2283122997774822,2.5522552639355554,2.757773636454641,4.990432586778736,3.671283038406451,1.0,0.9144852757453918,0.8528854250907898,1.0,0.05566880479454994,0.97683969683876,0.004197381782132135,0.013678842471686015
halueval-9667,halueval,1,-3.020095109939575,-0.49285147302301385,0.7936076627423366,0.37132008255047944,0.524050538680361,3.6126346588134766,1.0739727971351611,0.4928514730230138,0.8472978603872036,1.3862943611198906,0.5757697187382309,0.0,0.8713045120239258,0.766732931137085,0.9932417869567871,0.08339070528745651,0.46938410429396793,0.13741991468450482,0.3340179051952684
halueval-8673,halueval,0,-0.7016662955284119,-0.142138069896464,0.8973502516746521,0.22450387743307734,0.3632975652522873,1.7212657928466797,0.7593562844457203,0.14213806989646408,0.6931471805599453,0.6931471805599453,0.0,0.4,0.7128902673721313,0.5214837789535522,1.0,0.23442412912845612,0.4005493923298439,0.5909254398484574,0.5951880237593067
halueval-5554,halueval,0,-0.09326833486557007,-0.02463610525956028,0.9764202237129211,0.043672813509922644,0.1616629206982907,0.5968625545501709,0.2904182294133811,0.024636105259560365,0.6931471805599453,0.6931471805599453,0.0,1.0,1.0,1.0,1.0,0.0,0.970913928630489,0.009594869612545217,0.01934047049102821
halueval-8298,halueval,0,-1.7705625295639038,-0.442822627896021,0.792377345263958,0.4147601360792323,0.7456097670510644,2.9732308387756348,1.4850827436654566,0.44282262789602106,0.9162907318741551,1.3862943611198906,0.6931471805599453,0.0,0.8260919451713562,0.6407833099365234,0.9728329181671143,0.11919895559549332,0.445051568486467,0.2241013562502107,0.38952489388187184
halueval-157,halueval,1,-4.469964027404785,-0.911466382039685,0.6963910212119421,0.4044285804008244,0.4319010471808724,1.2386176586151123,0.4423776082797283,0.911466382039685,0.9382696385929303,1.791759469228055,0.8472978603872036,0.6,0.9093319773674011,0.7733301520347595,0.9999999403953552,0.11104506254196167,0.7911619610907993,0.03691711831568467,0.12287757861244268
halueval-9946,halueval,1,-10.506421089172363,-1.8296925822006804,0.6384794671877378,0.389386866599053,0.6428565845957824,1.3989039659500122,0.5480238273239912,1.8296925822006804,1.717651497074333,3.258096538021482,2.3041697410894804,0.0,0.9450021982192993,0.9102929830551147,0.9843007922172546,0.022355226799845695,0.6143873180290345,0.11002889016270874,0.2478207860668371
halueval-7444,halueval,0,-2.6090853214263916,-0.5230357303284109,0.813503335416317,0.4136196241019494,0.5475587083026767,2.6844639778137207,1.194605351104158,0.5230357303284109,0.8754687373538999,1.3862943611198906,0.6389165189617602,0.4,0.5028183460235596,0.17136399447917938,1.0,0.4059470295906067,0.6882710273275254,0.0039292336947349665,0.15782910318360477
halueval-1567,halueval,1,-6.523437976837158,-0.49714120680075485,0.8352283873276687,0.2809209635473081,0.4029637839666975,1.9140123128890991,0.5824232300002096,0.4971412068007548,0.8167611365271219,1.9459101490553132,0.7641081597497233,0.3,0.6332475543022156,0.4069923758506775,1.0,0.24740368127822876,0.2997621897566021,0.6932490042215349,0.6967434072324664
halueval-5072,halueval,0,-1.165815830230713,-0.1708306567688851,0.8974249831267765,0.25844094293117276,0.4397619386852187,2.8640761375427246,1.070729484687778,0.17083065676888512,0.6931471805599453,0.6931471805599453,0.0,0.2,0.6096287965774536,0.3512043058872223,1.0,0.30817651748657227,0.6972754968714088,0.01066492513379394,0.1566947141311926
