id,source_dataset,label,min_log_prob,mean_log_prob,mean_token_prob,token_prob_std,mean_entropy,max_entropy,entropy_std,log_perplexity,log_mean_token_rank,log_max_token_rank,log_rank_std,exact_match_agreement,mean_pairwise_similarity,min_pairwise_similarity,max_pairwise_similarity,pairwise_similarity_std,mean_pairwise_entailment,mean_pairwise_contradiction,nli_disagreement,top1_evidence_similarity,top3_evidence_similarity,response_top1_similarity,response_top3_similarity,evidence_response_margin,retrieval_agreement
fever_100145,fever,1,-14.460027694702148,-4.391283283179456,0.21307860705204265,0.30532037676460944,2.5753306340087545,5.539522647857666,1.5391345231162095,4.391283283179456,6.256447756765101,8.173011311724972,7.079928577243212,0.0,0.8667815923690796,0.7848639488220215,0.9615362882614136,0.052535854279994965,0.12509496574368328,0.01699609111073075,0.44595056268352373,0.6277875900268555,0.403563658396403,0.6277875304222107,0.40356364846229553,0.3114367127418518,0.39411722077267086
fever_100204,fever,1,-14.501713752746582,-3.4223324847944943,0.40489373575919585,0.38123843012676356,2.0705031600709143,6.768368721008301,1.7610053276476894,3.4223324847944943,5.989539618698398,8.267705664762426,6.996028191140681,0.0,0.8620476722717285,0.6955526471138,0.9676694869995117,0.07886386662721634,0.009828808827555305,0.6120095812061713,0.801090386189308,0.5854699611663818,0.44936148325602215,0.5854699015617371,0.4493614733219147,0.17431601881980896,0.3427750405314356
fever_100320,fever,0,-11.531634330749512,-3.3137614455606257,0.40641676418791967,0.4011022538939877,2.543564554836069,6.094219207763672,1.8190250334790443,3.3137614455606257,4.6319512086657335,6.529418838262226,5.342711767846442,0.0,0.7893853783607483,0.6340457201004028,0.9360955357551575,0.08479992300271988,0.08179089630786594,0.3837768874921225,0.6509929955921283,0.6943888068199158,0.4915531277656555,0.6943888664245605,0.4915531575679779,0.2937511205673218,0.48217585642558447
fever_100366,fever,1,-8.814213752746582,-3.7593306696840694,0.1899403345128771,0.2879923033580382,3.669835320540837,5.961042404174805,1.7234221093007924,3.7593306696840694,3.7308436532129683,4.90527477843843,4.015563549032616,0.0,0.8090518712997437,0.6857756972312927,0.9199215173721313,0.08708027750253677,0.18840624131530387,0.008418654924348762,0.4100062068045224,0.5693584680557251,0.389853556950887,0.5693585276603699,0.3898535668849945,0.251701295375824,0.3241690990831714
fever_101008,fever,1,-16.367595672607422,-4.267395383879458,0.23472312263550388,0.30793511453463,2.876250500790775,6.188478946685791,1.8731357305558196,4.267395383879458,6.584603027082048,8.946374826141717,7.574084019151142,0.0,0.7676898837089539,0.49920904636383057,0.9304274320602417,0.13641853630542755,0.214687786694104,0.23375496296410964,0.5095335881350029,0.7152019739151001,0.4395008583863576,0.7152019739151001,0.4395008385181427,0.40381038188934326,0.5115138634920555
fever_10118,fever,0,-12.814213752746582,-3.445886611078794,0.3220773255182114,0.36483228478278235,2.6007145488491425,5.737209320068359,1.7466802608250391,3.445886611078794,5.368847517353875,7.502186486602924,6.259625276339763,0.0,0.5509718060493469,0.35383856296539307,0.9170030951499939,0.19061459600925446,0.14187774006901804,0.17064949223249812,0.51438587608174,0.8520957827568054,0.552724152803421,0.8520958423614502,0.5527241826057434,0.44529712200164795,0.7260672737807994
fever_101322,fever,1,-8.897178649902344,-3.322042989043089,0.2614516369951441,0.3295602417840856,3.217323830494514,6.216296672821045,1.7189828431570429,3.322042989043089,4.1954653336218914,6.520621127558696,5.229797641403885,0.0,0.8966214060783386,0.8350775837898254,0.9363272190093994,0.03419981524348259,0.40422170961585485,0.024377726162634603,0.31007800827338994,0.6080797910690308,0.42996179064114887,0.6080797910690308,0.42996180057525635,0.25962597131729126,0.3697610323065561
fever_101528,fever,0,-20.371870040893555,-5.16150759317373,0.1383085037468228,0.23318215325516425,3.178163352765535,6.660216331481934,1.7610441425719878,5.16150759317373,7.82801706314943,10.608909093971462,9.138224640092755,0.0,0.9032275080680847,0.868276834487915,0.947894811630249,0.021730244159698486,0.27487781285178725,0.20799796346412175,0.4665600753061672,0.6496143341064453,0.43047478795051575,0.6496143937110901,0.4304748475551605,0.3239622712135315,0.421998821796592
fever_101604,fever,0,-12.417210578918457,-6.476004254817963,0.07773976381536159,0.1282236582596618,2.974635434150696,5.144680023193359,1.363327987087247,6.476004254817963,6.257092710028347,7.885329239273191,6.774764083176279,0.0,0.6794096827507019,0.5360095500946045,0.788154125213623,0.08086449652910233,0.21318139088654675,0.2740634656409645,0.5304410373772088,0.6170375347137451,0.4500010907649994,0.6170375347137451,0.4500010907649994,0.250232458114624,0.3807353192456162
fever_101618,fever,0,-13.752423286437988,-6.277751821279526,0.10285848120382753,0.1874139636793998,3.3211830615997315,5.465936660766602,1.2279648006469546,6.277751821279526,6.503389566317273,8.065893546964274,7.121322224485656,0.0,0.8438485264778137,0.7693445086479187,0.9719556570053101,0.05296649783849716,0.05077311238111961,0.7238575890129921,0.8365422383159362,0.6580385565757751,0.4861839512983958,0.6580384969711304,0.48618391156196594,0.24450749158859253,0.4330147027181752
